name,address,rating,reviews
The Soul Shack,,4.8(130),
Brunch Spot,,4.7(412),
Phin & Pho Siargao,,4.5(247),
Secreto Restaurant & Cocktails Siargao,,4.8(325),
Happiness Restaurant Siargao,,4.7(528),
Cumin Siargao,,4.7(706),
Bar Ciao IAO,,4.7(352),
OPPA Kitchen,,4.9(253),
La Mesa,,4.6(614),
Sunday Siargao (Cafe and Pool),,4.8(660),
Basta Siargao,,4.7(259),
La Carinderia,,"4.5(1,228)",
Wild Siargao Restaurant,,4.8(487),
X Pizza - Siargao,,"4.9(1,237)",
Isla Panciteria Siargao,,5.0(269),
Tradicion Siargao,,4.7(229),
Noods Wok Bar,,4.5(827),
Masala Siargao,,4.8(293),
Isla Comida Siargao,,4.8(216),
El Chapo’s Siargao,,4.8(536),
NĀGA Siargao,,4.5(599),
Neverland Siargao,,4.8(242),
CEV: Ceviche & Kinilaw Shack,,"4.8(1,119)",
"Goodies - Cafe, Restaurant Bar & Eco Shop",,"4.7(1,029)",
TP’s food house,,4.8(17),
Big Belly Siargao,,"4.9(3,528)",
The Ohm Café & Bistro: All-Day Dining & Poolside Drinks,,4.9(202),
Silk Road,,5.0(38),
Tiki Hut Siargao,,4.7(165),
Prana Garden Restaurant,,4.9(144),
Yugto Siargao,,4.8(228),
Kayaha Grill Siargao,,4.9(52),
Kurvada,,4.5(873),
Tahanan Al Fresco Cafe - Siargao,,4.7(245),
Las Palmas Restaurant,,4.8(43),
Happiness Beach Bar Siargao,,4.7(280),
MASA Seafood Bar & Grill,,4.4(46),
"My Greek Taverna, The Best Mediterranean Greek Restaurant, Siargao",,4.4(491),
Hakata Ramen,,4.6(255),
Bulan Pizzeria,,4.3(121),
SHAKA Siargao,,"4.6(2,372)",
Nattribu Siargao,,4.6(199),
Chef Marquin Burgers Siargao,,4.5(106),
Doner shawarma and kebabs Siargao-falafel ko حلال,,4.6(68),
Romantic beach restaurant and bar,,4.7(307),
MEKONG Siargao,,4.6(21),
Borracho Siargao,,4.9(27),
The Beachbaby Cafe,,4.5(126),
Barbosa Siargao,,4.6(215),
Mama's Grill,,4.2(751),
Vedya Siargao,,4.7(271),
Abukay Beach House,,3.7(49),
Dao Chow Siargao,,4.7(439),
Global Food Café Siargao,,4.2(36),
Trattoria Altrove Siargao,,4.4(256),
The Urban Siargao,,4.5(10),
The Smoking Joint BBQ Siargao,,4.5(172),
Ver De Siargao,,4.6(188),
Bravo Restaurant,,"4.5(1,029)",
SURFING TEMPLE RESTO,,4.7(35),
The Hub by Lokal Lab- General Luna,,4.7(260),
BAYANI RESTAURANT,,4.7(98),
"Dose Siargao ""Halal"" Cafe & Restobar",,4.6(24),
Fin & Fin Beach Shack,,4.8(159),
Matahari Siargao,,5.0(36),
Derecho,,4.5(170),
