name,address,rating,reviews,website,email
The Soul Shack,,4.8(130),,https://www.instagram.com/soulshack.siargao/,
Brunch Spot,,4.7(412),,https://www.instagram.com/brunchspotsiargao/,
Phin & Pho Siargao,,4.5(247),,https://sites.google.com/view/phinandpho/home,
Secreto Restaurant & Cocktails Siargao,,4.8(325),,https://www.instagram.com/secretosiargao/,
Happiness Restaurant Siargao,,4.7(528),,https://linktr.ee/happinessphilippines,
Cumin Siargao,,4.7(706),,http://www.instagram.com/cuminsiargao,
Bar Ciao IAO,,4.7(352),,,
OPPA Kitchen,,4.9(253),,,
La Mesa,,4.6(614),,,
Sunday Siargao (Cafe and Pool),,4.8(660),,http://instagram.com/sundaysiargao,
Basta Siargao,,4.7(259),,,
La Carinderia,,"4.5(1,228)",,,
Wild Siargao Restaurant,,4.8(487),,https://wildsiargao.ph/,
X Pizza - Siargao,,"4.9(1,237)",,,
Isla Panciteria Siargao,,5.0(269),,http://www.islapanciteria.com/,
Tradicion Siargao,,4.7(229),,,
Noods Wok Bar,,4.5(827),,,
Masala Siargao,,4.8(293),,https://www.instagram.com/masala.siargao/,
Isla Comida Siargao,,4.8(216),,,
El Chapo’s Siargao,,4.8(536),,https://www.instagram.com/elchaposph/?hl=en,
NĀGA Siargao,,4.5(599),,https://www.nagaconcepts.co/,
Neverland Siargao,,4.8(242),,,
CEV: Ceviche & Kinilaw Shack,,"4.8(1,119)",,http://www.instagram.com/cevsiargao,
"Goodies - Cafe, Restaurant Bar & Eco Shop",,"4.7(1,029)",,https://www.instagram.com/goodies.siargao/,
TP’s food house,,4.8(17),,,
Big Belly Siargao,,"4.9(3,528)",,,
The Ohm Café & Bistro: All-Day Dining & Poolside Drinks,,4.9(202),,http://instagram.com/theohmcafe,
Silk Road,,5.0(38),,https://silkroad.ph/,
Tiki Hut Siargao,,4.7(165),,https://www.instagram.com/tikihut_siargao/,
Prana Garden Restaurant,,4.9(144),,,
Yugto Siargao,,4.8(228),,,
Kayaha Grill Siargao,,4.9(52),,,
Kurvada,,4.5(873),,,
Tahanan Al Fresco Cafe - Siargao,,4.7(245),,,
Las Palmas Restaurant,,4.8(43),,http://laspalmassiargao.com/,
Happiness Beach Bar Siargao,,4.7(280),,,
MASA Seafood Bar & Grill,,4.4(46),,https://www.instagram.com/masa.siargao/?utm_source=ig_web_button_share_sheet,
"My Greek Taverna, The Best Mediterranean Greek Restaurant, Siargao",,4.4(491),,https://www.instagram.com/mygreektavernasiargao/,
Hakata Ramen,,4.6(255),,,
Bulan Pizzeria,,4.3(121),,https://www.facebook.com/bulanvillas/,
SHAKA Siargao,,"4.6(2,372)",,http://www.facebook.com/shakasiargao,
Nattribu Siargao,,4.6(199),,,
Chef Marquin Burgers Siargao,,4.5(106),,https://www.facebook.com/share/HDrnk8b1ffy2ZjGe/?mibextid=LQQJ4d,
Doner shawarma and kebabs Siargao-falafel ko حلال,,4.6(68),,,
Romantic beach restaurant and bar,,4.7(307),,http://www.islandsiargao.com/,
MEKONG Siargao,,4.6(21),,,
Borracho Siargao,,4.9(27),,https://www.facebook.com/borracho.siargao?mibextid=LQQJ4d,
The Beachbaby Cafe,,4.5(126),,https://www.instagram.com/thebeachbabycafe.siargao,
Barbosa Siargao,,4.6(215),,http://www.barbosasiargao.com/,
Mama's Grill,,4.2(751),,,
Vedya Siargao,,4.7(271),,,
Abukay Beach House,,3.7(49),,,
Dao Chow Siargao,,4.7(439),,https://www.instagram.com/daochow.siargao/,
Global Food Café Siargao,,4.2(36),,,
Trattoria Altrove Siargao,,4.4(256),,,
The Urban Siargao,,4.5(10),,https://instagram.com/krazybuns_siargao?igshid=MzRlODBiNWFlZA==,
The Smoking Joint BBQ Siargao,,4.5(172),,,
Ver De Siargao,,4.6(188),,https://www.verderesto.co/,
Bravo Restaurant,,"4.5(1,029)",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
